country,code,year,adult_literacy
Afghanistan,AFG,1979,18.0
Afghanistan,AFG,2011,31.0
Afghanistan,AFG,2015,33.75384
Afghanistan,AFG,2021,37.0
Albania,ALB,2001,99.0
Albania,ALB,2008,96.0
Albania,ALB,2011,97.0
Albania,ALB,2012,97.0
Albania,ALB,2017,98.81623
Algeria,DZA,1987,50.0
Algeria,DZA,2002,70.0
Algeria,DZA,2006,73.0
Algeria,DZA,2008,75.0
American Samoa,ASM,1980,97.0
Angola,AGO,2001,67.0
Angola,AGO,2014,66.0
Angola,AGO,2015,66.23586
Anguilla,AIA,1984,95.0
Antigua and Barbuda,ATG,2001,99.0
Argentina,ARG,1980,94.0
Argentina,ARG,1991,96.0
Argentina,ARG,2001,97.0
Armenia,ARM,1989,99.0
Armenia,ARM,2001,99.0
Armenia,ARM,2011,100.0
Armenia,ARM,2016,100.0
Armenia,ARM,2017,100.0
Armenia,ARM,2020,100.0
Armenia,ARM,2022,99.825
Aruba,ABW,2000,97.0
Aruba,ABW,2010,97.0
Azerbaijan,AZE,1999,99.0
Azerbaijan,AZE,2007,100.0
Azerbaijan,AZE,2009,100.0
Azerbaijan,AZE,2010,100.0
Azerbaijan,AZE,2011,100.0
Azerbaijan,AZE,2012,100.0
Azerbaijan,AZE,2013,100.0
Azerbaijan,AZE,2014,100.0
Azerbaijan,AZE,2015,100.0
Azerbaijan,AZE,2016,100.0
Azerbaijan,AZE,2017,100.0
Azerbaijan,AZE,2019,100.0
Azerbaijan,AZE,2023,100.0
Bahrain,BHR,1981,70.0
Bahrain,BHR,1991,84.0
Bahrain,BHR,2001,87.0
Bahrain,BHR,2022,98.0
Bahrain,BHR,2023,98.0
Bangladesh,BGD,1981,29.0
Bangladesh,BGD,1991,35.0
Bangladesh,BGD,2001,47.0
Bangladesh,BGD,2011,59.0
Bangladesh,BGD,2012,58.0
Bangladesh,BGD,2013,61.0
Bangladesh,BGD,2014,61.0
Bangladesh,BGD,2015,65.0
Bangladesh,BGD,2016,73.0
Bangladesh,BGD,2017,73.0
Bangladesh,BGD,2018,74.0
Bangladesh,BGD,2019,75.0
Bangladesh,BGD,2020,75.0
Bangladesh,BGD,2021,76.0
Bangladesh,BGD,2022,79.0
Barbados,BRB,1970,99.0
