entity,code,year,illiteracy_rate,literacy_rate
Afghanistan,AFG,1950,97.0,3.0
Afghanistan,AFG,1979,82.0,18.0
Afghanistan,AFG,2011,69.0,31.0
Afghanistan,AFG,2015,66.246155,33.75384
Afghanistan,AFG,2021,63.0,37.0
Albania,ALB,1950,27.5,72.5
Albania,ALB,2001,1.0,99.0
Albania,ALB,2008,4.0,96.0
Albania,ALB,2011,3.0,97.0
Albania,ALB,2012,3.0,97.0
Albania,ALB,2017,1.1837692,98.81623
Algeria,DZA,1950,82.5,17.5
Algeria,DZA,1987,50.0,50.0
Algeria,DZA,2002,30.0,70.0
Algeria,DZA,2006,27.0,73.0
Algeria,DZA,2008,25.0,75.0
American Samoa,ASM,1950,3.5,96.5
American Samoa,ASM,1980,3.0,97.0
Andorra,AND,1950,17.5,82.5
Angola,AGO,1950,97.0,3.0
Angola,AGO,2001,33.0,67.0
Angola,AGO,2014,34.0,66.0
Angola,AGO,2015,33.764137,66.23586
Anguilla,AIA,1984,5.0,95.0
Antigua and Barbuda,ATG,1950,17.5,82.5
Antigua and Barbuda,ATG,2001,1.0,99.0
Argentina,ARG,1914,35.1,64.9
Argentina,ARG,1947,13.6,86.4
Argentina,ARG,1950,12.5,87.5
Argentina,ARG,1980,6.0,94.0
Argentina,ARG,1991,4.0,96.0
Argentina,ARG,2001,3.0,97.0
Armenia,ARM,1989,1.0,99.0
Armenia,ARM,2001,1.0,99.0
Armenia,ARM,2011,0.0,100.0
Armenia,ARM,2016,0.0,100.0
Armenia,ARM,2017,0.0,100.0
Armenia,ARM,2020,0.0,100.0
Armenia,ARM,2022,0.17500305,99.825
Aruba,ABW,2000,3.0,97.0
Aruba,ABW,2010,3.0,97.0
Australia,AUS,1950,1.5,98.5
Austria,AUT,1950,1.5,98.5
Azerbaijan,AZE,1999,1.0,99.0
Azerbaijan,AZE,2007,0.0,100.0
Azerbaijan,AZE,2009,0.0,100.0
Azerbaijan,AZE,2010,0.0,100.0
Azerbaijan,AZE,2011,0.0,100.0
Azerbaijan,AZE,2012,0.0,100.0
Azerbaijan,AZE,2013,0.0,100.0
Azerbaijan,AZE,2014,0.0,100.0
Azerbaijan,AZE,2015,0.0,100.0
Azerbaijan,AZE,2016,0.0,100.0
Azerbaijan,AZE,2017,0.0,100.0
Azerbaijan,AZE,2019,0.0,100.0
Azerbaijan,AZE,2023,0.0,100.0
Bahamas,BHS,1950,22.5,77.5
Bahrain,BHR,1950,87.5,12.5
Bahrain,BHR,1981,30.0,70.0
Bahrain,BHR,1991,16.0,84.0
Bahrain,BHR,2001,13.0,87.0
Bahrain,BHR,2022,2.0,98.0
Bahrain,BHR,2023,2.0,98.0
Bangladesh,BGD,1981,71.0,29.0
Bangladesh,BGD,1991,65.0,35.0
Bangladesh,BGD,2001,53.0,47.0
Bangladesh,BGD,2011,41.0,59.0
Bangladesh,BGD,2012,42.0,58.0
Bangladesh,BGD,2013,39.0,61.0
Bangladesh,BGD,2014,39.0,61.0
Bangladesh,BGD,2015,35.0,65.0
Bangladesh,BGD,2016,27.0,73.0
Bangladesh,BGD,2017,27.0,73.0
Bangladesh,BGD,2018,26.0,74.0
Bangladesh,BGD,2019,25.0,75.0
Bangladesh,BGD,2020,25.0,75.0
Bangladesh,BGD,2021,24.0,76.0
Bangladesh,BGD,2022,21.0,79.0
Barbados,BRB,1950,7.5,92.5
Barbados,BRB,1970,1.0,99.0
Belarus,BLR,1989,2.0,98.0
Belarus,BLR,1999,0.0,100.0
Belarus,BLR,2009,0.0,100.0
Belarus,BLR,2019,0.0,100.0
Belgium,BEL,1475,90.0,10.0
Belgium,BEL,1550,83.0,17.0
Belgium,BEL,1650,75.0,25.0
Belgium,BEL,1750,87.0,13.0
Belgium,BEL,1900,19.6,80.4
Belgium,BEL,1910,13.4,86.6
Belgium,BEL,1920,7.8,92.2
Belgium,BEL,1930,5.9,94.1
Belgium,BEL,1950,3.5,96.5
Belize,BLZ,1950,22.5,77.5
Belize,BLZ,1991,30.0,70.0
Belize,BLZ,2015,9.0839615,90.91604
Benin,BEN,1979,84.0,16.0
Benin,BEN,1992,73.0,27.0
Benin,BEN,2002,65.0,35.0
Benin,BEN,2017,61.12879,38.87121
Benin,BEN,2019,51.00172,48.99828
Benin,BEN,2021,56.16583,43.83417
Benin,BEN,2022,48.62123,51.37877
Bermuda,BMU,1950,3.5,96.5
Bhutan,BTN,1950,97.0,3.0
Bhutan,BTN,2005,47.0,53.0
Bhutan,BTN,2012,45.0,55.0
Bhutan,BTN,2017,33.0,67.0
Bolivia,BOL,1950,67.5,32.5
Bolivia,BOL,1976,37.0,63.0
Bolivia,BOL,1992,20.0,80.0
Bolivia,BOL,2001,13.0,87.0
Bolivia,BOL,2007,9.0,91.0
Bolivia,BOL,2008,9.0,91.0
Bolivia,BOL,2009,9.0,91.0
Bolivia,BOL,2011,8.0,92.0
Bolivia,BOL,2012,6.0,94.0
Bolivia,BOL,2015,8.0,92.0
Bolivia,BOL,2020,6.0,94.0
Bosnia and Herzegovina,BIH,1991,11.0,89.0
Bosnia and Herzegovina,BIH,2000,3.0,97.0
Bosnia and Herzegovina,BIH,2013,3.0,97.0
Botswana,BWA,1950,77.5,22.5
Botswana,BWA,1991,31.0,69.0
Botswana,BWA,2003,19.0,81.0
Brazil,BRA,1900,65.3,34.7
Brazil,BRA,1920,64.9,35.1
Brazil,BRA,1940,56.1,43.9
Brazil,BRA,1950,52.5,47.5
Brazil,BRA,1980,25.0,75.0
Brazil,BRA,2000,14.0,86.0
Brazil,BRA,2004,11.0,89.0
Brazil,BRA,2006,10.0,90.0
Brazil,BRA,2007,10.0,90.0
Brazil,BRA,2008,10.0,90.0
Brazil,BRA,2009,10.0,90.0
Brazil,BRA,2010,10.0,90.0
Brazil,BRA,2011,9.0,91.0
Brazil,BRA,2012,9.0,91.0
Brazil,BRA,2013,9.0,91.0
Brazil,BRA,2014,8.0,92.0
Brazil,BRA,2015,8.0,92.0
Brazil,BRA,2016,7.0,93.0
Brazil,BRA,2017,7.0,93.0
Brazil,BRA,2018,7.0,93.0
Brunei,BRN,1950,72.5,27.5
Brunei,BRN,1981,22.0,78.0
Brunei,BRN,1991,12.0,88.0
Brunei,BRN,2001,7.0,93.0
Brunei,BRN,2011,4.0,96.0
Bulgaria,BGR,1900,70.4,29.6
Bulgaria,BGR,1905,65.5,34.5
Bulgaria,BGR,1910,57.8,42.2
Bulgaria,BGR,1920,46.7,53.3
Bulgaria,BGR,1926,39.7,60.3
Bulgaria,BGR,1934,31.4,68.6
Bulgaria,BGR,1950,22.5,77.5
Bulgaria,BGR,2001,2.0,98.0
Bulgaria,BGR,2011,2.0,98.0
Burkina Faso,BFA,1975,91.0,9.0
Burkina Faso,BFA,1991,86.0,14.0
Burkina Faso,BFA,1996,87.0,13.0
Burkina Faso,BFA,2003,78.0,22.0
